Temperature(K),label,slope,intercept,D_A2_ps,D_m2_s,r
300,Ca,1.1246503744533356,19.420959643501646,0.1874417290755559,1.874417290755559e-09,0.93585217239498
900,Ca,0.3797975370467006,40.14310017214413,0.0632995895077834,6.329958950778345e-10,0.7389951564049018
300,O,1.656312360164316,7.48946426896488,0.2760520600273859,2.7605206002738597e-09,0.9801771947716068
900,O,0.2838962030998939,55.92405290784677,0.0473160338499823,4.731603384998232e-10,0.6097819448088887
300,Ti,1.5590303116303714,13.18422470925751,0.2598383852717286,2.598383852717286e-09,0.9570159122225425
900,Ti,0.2086709339301027,56.95880196475991,0.0347784889883504,3.4778488988350457e-10,0.4325667995818456
