label,slope,intercept,D_A2_ps,D_m2_s,r
Ca,0.37979753704670066,40.14310017214413,0.06329958950778344,6.329958950778345e-10,0.7389951564049018
O,0.28389620309989394,55.92405290784677,0.04731603384998232,4.731603384998232e-10,0.6097819448088887
Ti,0.20867093393010278,56.95880196475991,0.03477848898835046,3.477848898835046e-10,0.4325667995818456
