# r (Å)	g(r)
2.500000000000000139e-02 0.000000000000000000e+00
7.500000000000001110e-02 0.000000000000000000e+00
1.250000000000000000e-01 0.000000000000000000e+00
1.750000000000000167e-01 0.000000000000000000e+00
2.250000000000000056e-01 0.000000000000000000e+00
2.750000000000000222e-01 0.000000000000000000e+00
3.250000000000000666e-01 0.000000000000000000e+00
3.750000000000000000e-01 0.000000000000000000e+00
4.250000000000000444e-01 0.000000000000000000e+00
4.749999999999999778e-01 0.000000000000000000e+00
5.250000000000000222e-01 0.000000000000000000e+00
5.750000000000000666e-01 0.000000000000000000e+00
6.250000000000000000e-01 1.425068352755764156e+00
6.750000000000000444e-01 2.347715440741962567e+01
7.250000000000000888e-01 2.240970799348591314e+01
7.750000000000000222e-01 1.152111432484510978e+01
8.250000000000000666e-01 2.668052390524774253e+01
8.750000000000000000e-01 2.812959323838707348e+01
9.250000000000000444e-01 8.251034754210262889e+00
9.750000000000000888e-01 2.539706609913416457e+00
1.024999999999999911e+00 1.147117867933968860e+00
1.075000000000000178e+00 9.155576129348647063e-01
1.125000000000000000e+00 4.682836525859370713e-01
1.175000000000000266e+00 2.967530688704734798e-01
1.225000000000000089e+00 3.976106869848823333e-01
1.274999999999999911e+00 3.768286843601729164e-01
1.325000000000000178e+00 2.582978661212267379e-01
1.375000000000000000e+00 1.956721222128943172e-01
1.425000000000000266e+00 3.055973414649814091e-01
1.475000000000000089e+00 7.459913537137429218e-01
1.524999999999999911e+00 1.255500026009006787e+00
1.575000000000000178e+00 1.879443522535997779e+00
1.625000000000000000e+00 3.698364910114092741e+00
1.675000000000000266e+00 5.485751315806461470e+00
1.725000000000000089e+00 2.660380334261078339e+00
1.774999999999999911e+00 2.106055789877977702e+00
1.825000000000000178e+00 1.942079015335478998e+00
1.875000000000000000e+00 2.186140647714108098e+00
1.925000000000000266e+00 2.444423238453633296e+00
1.975000000000000089e+00 2.824000811881095085e+00
2.025000000000000355e+00 2.935594472408122879e+00
2.075000000000000178e+00 3.231929258389371729e+00
2.125000000000000000e+00 4.014582435827992235e+00
2.174999999999999822e+00 4.375376544292833181e+00
2.225000000000000089e+00 1.769449876750289974e+00
2.275000000000000355e+00 8.362726021774559149e-01
2.325000000000000178e+00 4.386143784664964795e-01
2.375000000000000000e+00 4.210467501985323824e-01
2.425000000000000266e+00 4.985719866141917755e-01
2.475000000000000089e+00 4.987642304407615690e-01
2.525000000000000355e+00 4.891908929130457939e-01
2.575000000000000178e+00 5.447747788629502264e-01
2.625000000000000000e+00 5.553957891433013438e-01
2.675000000000000266e+00 5.159255263825704985e-01
2.725000000000000089e+00 5.973500801964959361e-01
2.775000000000000355e+00 6.597090314545486223e-01
2.825000000000000178e+00 5.907032571110163444e-01
2.875000000000000000e+00 6.372364322827768213e-01
2.925000000000000266e+00 7.077039067104144987e-01
2.975000000000000089e+00 6.989489988318412506e-01
3.025000000000000355e+00 6.647312506208807870e-01
3.075000000000000178e+00 6.899907931647280002e-01
3.125000000000000000e+00 7.047515691096493118e-01
3.175000000000000266e+00 7.154851528378748382e-01
3.225000000000000089e+00 7.068594790674156414e-01
3.275000000000000355e+00 7.058411935541567539e-01
3.325000000000000178e+00 7.639373918909068140e-01
3.375000000000000000e+00 7.812854621504141672e-01
3.425000000000000266e+00 7.521975833971115133e-01
3.475000000000000089e+00 8.012088112326132272e-01
3.525000000000000355e+00 7.943291431611934073e-01
3.575000000000000178e+00 7.545233782172456882e-01
3.625000000000000000e+00 7.274951799798003993e-01
3.675000000000000266e+00 7.096017379522401303e-01
3.725000000000000089e+00 6.823656222762428669e-01
3.775000000000000355e+00 6.766928864813643862e-01
3.825000000000000178e+00 6.833177183512038066e-01
3.875000000000000000e+00 7.177262368339732967e-01
3.925000000000000266e+00 7.230562637988376951e-01
3.975000000000000089e+00 7.165626381524571320e-01
4.025000000000000355e+00 7.062375161494121034e-01
4.075000000000000178e+00 7.242303639170500906e-01
4.125000000000000000e+00 7.004672623178652691e-01
4.175000000000000711e+00 7.522605882195383398e-01
4.224999999999999645e+00 7.720023898379633209e-01
4.275000000000000355e+00 7.858312035042571697e-01
4.325000000000000178e+00 7.771247471487386926e-01
4.375000000000000000e+00 7.844049230291205710e-01
4.425000000000000711e+00 7.907531257990508822e-01
4.474999999999999645e+00 8.250316137960224117e-01
4.525000000000000355e+00 8.451755553511622887e-01
4.575000000000000178e+00 8.627260659346414062e-01
4.625000000000000000e+00 8.956906297876962020e-01
4.675000000000000711e+00 9.088525967814470308e-01
4.724999999999999645e+00 9.415738471677390642e-01
4.775000000000000355e+00 9.299845755867874875e-01
4.825000000000001066e+00 9.342213943203584448e-01
4.875000000000000000e+00 9.449528858612197268e-01
4.925000000000000711e+00 9.544021608100282661e-01
4.974999999999999645e+00 9.507452838942694884e-01
5.025000000000000355e+00 9.695741610368349139e-01
5.075000000000001066e+00 9.564331010736528693e-01
5.125000000000000000e+00 9.549775525815860089e-01
5.175000000000000711e+00 9.533994182641495341e-01
5.224999999999999645e+00 9.620527223648054349e-01
5.275000000000000355e+00 9.709230410871236838e-01
5.325000000000001066e+00 9.879907129442953018e-01
5.375000000000000000e+00 9.732753596261934925e-01
5.425000000000000711e+00 9.848857734489876448e-01
5.474999999999999645e+00 9.910011135801503057e-01
5.525000000000000355e+00 1.016935327849436188e+00
5.575000000000001066e+00 1.022968067726647501e+00
5.625000000000000000e+00 1.020202414015960901e+00
5.675000000000000711e+00 1.011816229962616998e+00
5.724999999999999645e+00 1.034882021770243243e+00
5.775000000000000355e+00 1.030161227511436017e+00
5.825000000000001066e+00 1.039167318689714126e+00
5.875000000000000000e+00 1.018788484017661755e+00
5.925000000000000711e+00 1.011865509717842171e+00
5.974999999999999645e+00 1.024866009079794971e+00
6.025000000000000355e+00 1.039379643780991902e+00
6.075000000000001066e+00 1.029886765675386284e+00
6.125000000000000000e+00 1.039545879693392738e+00
6.175000000000000711e+00 1.057000700743603305e+00
6.224999999999999645e+00 1.038241101100061847e+00
6.275000000000000355e+00 1.051061424032406766e+00
6.325000000000001066e+00 1.031128545036702926e+00
6.375000000000000000e+00 1.045950612475230912e+00
6.425000000000000711e+00 1.055755087003090509e+00
6.474999999999999645e+00 1.062666029624034003e+00
6.525000000000000355e+00 1.040742555411480863e+00
6.575000000000001066e+00 1.053041646354975436e+00
6.625000000000000000e+00 1.049805854799186422e+00
6.675000000000000711e+00 1.059495288630921017e+00
6.724999999999999645e+00 1.069045467468572097e+00
6.775000000000000355e+00 1.063725132855136701e+00
6.825000000000001066e+00 1.065875765998407276e+00
6.875000000000000000e+00 1.052448618409605130e+00
6.925000000000000711e+00 1.051740412713021211e+00
6.974999999999999645e+00 1.033363121428973797e+00
7.025000000000000355e+00 1.020398607770220289e+00
7.075000000000001066e+00 1.005311737558493235e+00
7.125000000000000000e+00 9.854525795774314867e-01
7.175000000000000711e+00 9.760935059691202564e-01
7.224999999999999645e+00 9.615633979743378745e-01
7.275000000000000355e+00 9.684612933292134906e-01
7.325000000000001066e+00 9.485379519669374648e-01
7.375000000000000000e+00 9.369635011411938663e-01
7.425000000000000711e+00 9.274899383617626336e-01
7.474999999999999645e+00 9.278682508825952802e-01
